Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"SHOALS HOSPITAL",3,1,2,2,1,2,2,1
"L V STABLER MEMORIAL HOSPITAL",3,9,2,2,2,2,3,2
"MERCY HOSPITAL OF FOLSOM",2,5,2,1,1,3,1,2
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",3,7,2,2,2,2,1,2
"LARKIN COMMUNITY HOSPITAL",3,9,2,3,3,2,1,1
"PALMS WEST HOSPITAL",2,9,2,3,1,2,2,2
"WATERBURY HOSPITAL",2,5,2,1,1,2,1,3
"DOCTORS MEDICAL CENTER",2,9,3,2,1,3,1,2
"COLQUITT REGIONAL MEDICAL CENTER",3,1,2,1,3,2,2,2
"PARKVIEW MEDICAL CENTER INC",4,5,2,1,2,2,2,2
"SAN GABRIEL VALLEY MEDICAL CENTER",4,10,1,3,1,2,2,2
"WEST FLORIDA HOSPITAL",3,9,2,3,3,2,3,2
"SUTTER MEDICAL CENTER, SACRAMENTO",4,5,2,2,2,2,1,3
"DOCTORS HOSPITAL OF SARASOTA",3,9,2,3,1,2,3,2
"FRENCH HOSPITAL MEDICAL CENTER",4,7,2,3,3,2,2,1
"HOUSTON MEDICAL CENTER",4,5,1,3,2,2,2,1
"PALMS OF PASADENA HOSPITAL",2,9,2,2,1,2,3,2
"STANFORD HEALTH CARE - VALLEYCARE",4,5,2,1,3,2,2,2
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER",3,7,1,1,1,2,1,2
"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR",3,7,1,1,2,2,1,2
"CITRUS MEMORIAL HOSPITAL",2,1,3,3,1,2,1,2
"LONG BEACH MEMORIAL MEDICAL CENTER",3,7,1,1,1,2,1,2
"EAST GEORGIA REGIONAL MEDICAL CENTER",2,9,2,2,1,2,1,1
"YAVAPAI REGIONAL MEDICAL CENTER",2,2,3,1,3,2,2,2
"NORTHWEST MEDICAL CENTER-SPRINGDALE",3,9,3,3,1,2,3,2
"ST JOSEPH'S MEDICAL CENTER OF STOCKTON",2,6,3,2,1,2,1,2
"UAMS MEDICAL CENTER",1,3,2,1,1,1,1,3
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS",4,5,2,3,1,2,1,2
"CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER",4,6,2,2,1,2,2,2
"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL",3,2,3,1,1,2,2,1
"CENTURA HEALTH-ST THOMAS MORE HOSPITAL",4,5,2,2,2,2,3,2
"DALE MEDICAL CENTER",4,1,2,2,3,2,3,2
"FOOTHILLS HOSPITAL",3,5,2,1,2,2,3,2
"MONTROSE MEMORIAL HOSPITAL",4,5,2,2,3,2,3,2
"VIERA HOSPITAL",4,5,2,1,3,2,3,2
"LEHIGH REGIONAL MEDICAL CENTER",2,5,2,2,1,2,1,2
"ST JOSEPH HOSPITAL",2,6,3,1,3,1,1,2
"HIGHLANDS MEDICAL CENTER",3,1,2,2,2,1,2,2
"PALOMAR HEALTH DOWNTOWN CAMPUS",3,1,2,2,2,2,1,3
"WINTER HAVEN HOSPITAL",2,5,3,3,1,2,1,2
"SOUTHWEST HEALTHCARE SYSTEM",2,9,2,2,1,2,1,2
"SAN JOAQUIN GENERAL HOSPITAL",2,2,2,2,1,2,1,2
"BAPTIST MEDICAL CENTER - BEACHES",4,5,2,3,2,2,2,2
"MERCY REGIONAL MEDICAL CENTER",5,6,2,3,3,2,2,2
"FLORIDA HOSPITAL FLAGLER",3,6,3,3,2,2,2,2
"POMERADO HOSPITAL",3,1,2,2,1,2,2,2
"WELLSTAR COBB HOSPITAL",2,7,1,1,1,2,1,2
"FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER",4,6,3,3,3,2,2,2
"SIERRA VIEW MEDICAL CENTER",2,5,3,3,1,2,1,1
"LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS",2,5,1,3,1,2,1,2
"HIGHLAND HOSPITAL",1,1,2,1,1,2,1,2
"CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL",4,6,2,2,3,2,2,2
"PIEDMONT ATHENS REGIONAL MEDICAL CENTER",3,7,1,1,2,2,2,2
"WESTERN ARIZONA REGIONAL MEDICAL CENTER",2,9,2,3,1,2,1,1
"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK",3,5,3,3,2,2,2,3
"CHARLOTTE HUNGERFORD HOSPITAL",2,5,3,3,1,2,1,2
"MERCY MEDICAL CENTER",2,5,2,2,1,2,1,2
"ROCKDALE MEDICAL CENTER",2,9,2,2,1,2,1,2
"MILLS-PENINSULA MEDICAL CENTER",4,5,1,2,3,2,2,2
"DELANO REGIONAL MEDICAL CENTER",2,9,2,2,1,2,2,1
"WEST HILLS HOSPITAL & MEDICAL CENTER",3,9,1,3,1,2,2,2
"MEDICAL CENTER OF THE ROCKIES",4,5,2,2,3,2,3,2
"ATHENS LIMESTONE HOSPITAL",2,1,2,2,2,2,3,1
"PARRISH MEDICAL CENTER",4,1,2,3,2,2,2,2
"JACKSON HOSPITAL & CLINIC INC",3,5,2,3,2,2,1,2
"MERCY GILBERT MEDICAL CENTER",4,6,1,3,1,2,2,3
"HAZEL HAWKINS MEMORIAL HOSPITAL",2,1,2,1,1,2,2,1
"FLAGSTAFF MEDICAL CENTER",4,5,2,1,3,2,1,2
"MEDICAL CENTER SOUTH ARKANSAS",3,9,3,2,2,2,3,2
"TEMECULA VALLEY HOSPITAL",3,9,2,3,2,2,1,2
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE",3,6,2,3,1,2,1,2
"RONALD REAGAN U C L A MEDICAL CENTER",3,3,1,1,3,2,1,1
"CHRISTIANA CARE HEALTH SERVICES, INC.",4,5,1,1,2,1,1,3
"SEBASTIAN RIVER MEDICAL CENTER",3,9,2,2,1,3,2,1
"COMMUNITY HOSPITAL",3,5,2,2,1,2,3,1
"TANNER MEDICAL CENTER - CARROLLTON",3,1,2,1,3,2,3,2
"UNITED MEDICAL CENTER",1,9,2,3,1,1,1,2
"GROSSMONT HOSPITAL",3,1,3,3,1,2,1,2
"TALLAHASSEE MEMORIAL HOSPITAL",3,5,3,3,2,2,1,3
"NORWALK HOSPITAL ASSOCIATION",3,5,1,1,2,2,2,2
"POINCIANA MEDICAL CENTER",2,9,2,2,1,2,3,2
"COFFEE REGIONAL MEDICAL CENTER",3,1,2,3,2,2,3,1
"MEDICAL CENTER OF AURORA, THE",4,9,2,3,3,3,3,2
"SHARON HOSPITAL",3,9,2,2,2,2,2,2
"DESERT REGIONAL MEDICAL CENTER",2,9,3,1,1,2,1,2
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",2,1,2,1,3,2,2,3
"UNIVERSITY HOSPITAL",3,7,2,3,2,2,2,3
"GOOD SAMARITAN HOSPITAL",3,9,1,3,1,2,2,2
"SIERRA NEVADA MEMORIAL HOSPITAL",3,7,2,3,1,2,1,2
"BAYHEALTH - MILFORD MEMORIAL HOSPITAL",4,5,2,2,2,2,1,2
"ORLANDO HEALTH",3,5,2,3,2,2,1,3
"ST. MARY'S HOSPITAL",3,5,2,3,1,3,1,2
"JACKSON HOSPITAL",3,1,2,2,2,1,3,2
"BAPTIST HOSPITAL",3,5,2,2,3,2,2,1
"CASTLE ROCK ADVENTIST HOSPITAL",3,5,2,2,2,2,2,2
"NORTHRIDGE HOSPITAL MEDICAL CENTER",2,5,2,1,1,2,1,2
"TORRANCE MEMORIAL MEDICAL CENTER",3,7,2,1,3,2,1,2
"NAPLES COMMUNITY HOSPITAL",3,5,2,3,1,2,2,3
"NORTHEAST GEORGIA MEDICAL CENTER, INC",3,2,2,2,3,2,2,3
"PRESBYTERIAN ST LUKES MEDICAL CENTER",3,3,2,1,3,2,3,2
"CHANDLER REGIONAL MEDICAL CENTER",4,7,1,1,1,2,1,3
"VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH",3,9,3,2,1,2,2,2
"YALE-NEW HAVEN HOSPITAL",3,5,1,1,2,2,2,3
"BARTON MEMORIAL HOSPITAL",3,5,2,2,3,1,2,2
"WELLINGTON REGIONAL MEDICAL CENTER LLC",2,9,2,1,1,2,2,2
"PIONEERS MEMORIAL HEALTHCARE DISTRICT",2,1,2,2,1,2,1,2
"ANTELOPE VALLEY HOSPITAL",1,1,3,1,1,2,1,2
"MARSHALL MEDICAL CENTER",4,7,2,3,3,2,1,2
"PALM BEACH GARDENS MEDICAL CENTER",3,9,1,2,1,2,2,2
"SPARKS REGIONAL MEDICAL CENTER",2,9,3,1,1,2,2,1
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",3,5,2,1,2,2,2,2
"ROSE MEDICAL CENTER",4,9,2,3,3,2,3,2
"MANATEE MEMORIAL HOSPITAL",2,9,3,2,1,2,1,2
"HEALTH CENTRAL",3,3,2,2,2,2,1,2
"ST VINCENT'S ST CLAIR",3,5,2,2,3,2,3,1
"MEDICAL CENTER ENTERPRISE",3,9,3,2,2,3,2,2
"GULF BREEZE HOSPITAL",4,7,1,2,3,2,2,2
"MEMORIAL MEDICAL CENTER",2,5,3,1,1,3,1,3
"STEPHENS COUNTY HOSPITAL",3,1,2,2,2,2,2,2
"WELLSTAR SPALDING REGIONAL HOSPITAL",3,9,2,3,1,2,2,2
"FLORIDA HOSPITAL FISH MEMORIAL",3,6,2,1,2,2,1,2
"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER",2,2,2,1,2,2,2,2
"BEEBE MEDICAL CENTER",3,5,2,3,2,2,1,3
"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS",2,9,1,3,1,1,1,1
"STERLING REGIONAL MEDCENTER",3,5,2,2,2,2,3,2
"BAPTIST MEDICAL CENTER SOUTH",3,1,3,3,1,2,1,3
"SADDLEBACK MEMORIAL MEDICAL CENTER",4,5,2,2,2,2,1,1
"PIEDMONT NEWTON HOSPITAL",2,5,3,2,1,2,1,2
"CEDARS-SINAI MEDICAL CENTER",4,7,1,1,2,3,1,3
"NORTH SHORE MEDICAL CENTER",1,9,2,3,1,2,1,2
"PROVIDENCE SAINT JOSEPH MEDICAL CTR",3,6,2,3,2,2,1,2
"CENTURA HEALTH-PORTER ADVENTIST HOSPITAL",4,6,2,3,3,2,2,1
"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",3,5,2,3,1,2,1,2
"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM",3,1,1,3,1,2,1,2
"FLORIDA HOSPITAL CARROLLWOOD",3,6,2,2,3,2,2,2
"OSCEOLA REGIONAL MEDICAL CENTER",2,9,2,3,1,2,1,2
"WILLIAM W BACKUS HOSPITAL",4,7,1,3,2,2,1,3
"AHMC ANAHEIM REGIONAL MEDICAL CENTER",3,5,1,1,1,2,1,2
"WHITE RIVER MEDICAL CENTER",2,5,3,2,2,2,3,1
"MARTIN MEDICAL CENTER",2,5,2,1,1,2,1,3
"GLENDALE MEM HOSPITAL & HLTH CENTER",3,5,1,3,1,2,2,2
"BARSTOW COMMUNITY HOSPITAL",3,9,2,2,2,2,1,2
"GOOD SAMARITAN HOSPITAL",2,9,3,2,1,2,2,2
"WUESTHOFF MEDICAL CENTER-MELBOURNE",2,5,2,2,1,2,2,2
"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS",2,5,2,1,1,2,1,2
"ST HELENA HOSPITAL",3,5,2,1,3,2,2,2
"MEMORIAL REGIONAL HOSPITAL",3,1,1,2,3,2,1,2
"CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL",4,6,2,3,3,2,3,2
"TAMPA GENERAL HOSPITAL",2,5,2,1,2,2,1,1
"HIALEAH HOSPITAL",3,9,2,3,1,2,1,2
"CONTRA COSTA REGIONAL MEDICAL CENTER",2,2,2,2,1,2,1,2
"CORONA REGIONAL MEDICAL CENTER",3,9,2,3,1,2,1,2
"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK",3,5,3,3,3,2,2,3
"MERCY GENERAL HOSPITAL",3,6,2,1,3,2,1,2
"NORTH COLORADO MEDICAL CENTER",4,5,2,2,3,2,2,2
"HAVASU REGIONAL MEDICAL CENTER",2,9,2,2,1,2,3,1
"VALLEY VIEW MEDICAL CENTER",3,9,2,2,2,2,2,1
"LEE MEMORIAL HOSPITAL",2,1,2,1,1,2,1,1
"OAK HILL HOSPITAL",3,7,3,3,1,2,2,1
"SALINE MEMORIAL HOSPITAL",3,9,2,3,1,2,3,2
"MARIAN REGIONAL MEDICAL CENTER",3,6,3,3,2,2,2,2
"MORTON PLANT NORTH BAY HOSPITAL",3,5,2,2,2,2,1,2
"PROVIDENCE SAINT JOHN'S HEALTH CENTER",4,5,1,1,1,1,1,2
"RUSSELLVILLE HOSPITAL",3,9,2,2,2,2,3,2
"EMORY UNIVERSITY HOSPITAL",4,5,1,3,3,2,1,2
"ST VINCENT'S MEDICAL CENTER RIVERSIDE",3,5,2,3,1,2,1,2
"DREW MEMORIAL HOSPITAL",3,5,2,2,2,1,2,1
"AU MEDICAL CENTER",1,7,2,1,1,2,1,2
"AVENTURA HOSPITAL AND MEDICAL CENTER",3,5,1,3,1,2,2,3
"PRINCETON BAPTIST MEDICAL CENTER",3,6,3,3,3,2,1,2
"TAMPA COMMUNITY HOSPITAL",2,9,2,2,1,2,3,2
"DANBURY HOSPITAL",2,5,2,1,2,2,1,2
"TIFT REGIONAL MEDICAL CENTER",2,1,2,2,2,2,1,3
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA",5,7,2,3,3,2,2,2
"LOWER KEYS MEDICAL CENTER",1,9,2,1,1,2,2,2
"KAWEAH DELTA MEDICAL CENTER",4,1,2,3,1,2,1,2
"SHARP MEMORIAL HOSPITAL",4,7,2,3,3,3,2,3
"LOMA LINDA UNIVERSITY MEDICAL CENTER",2,5,1,1,1,2,1,1
"MEMORIAL HOSPITAL MIRAMAR",4,1,2,2,3,2,2,2
"UF HEALTH SHANDS HOSPITAL",2,5,2,3,1,2,1,2
"NORTH METRO MEDICAL CENTER",2,9,2,2,1,2,2,2
"FLORIDA HOSPITAL TAMPA",2,5,3,1,1,2,2,2
"ENGLEWOOD COMMUNITY HOSPITAL",4,9,1,3,3,2,3,2
"REGIONAL MEDICAL CENTER BAYONET POINT",2,9,3,3,1,2,2,2
"GREENWICH HOSPITAL ASSOCIATION",3,5,2,1,3,2,1,2
"PALM BAY HOSPITAL",4,9,2,2,3,2,3,2
"GULF COAST REGIONAL MEDICAL CENTER",3,9,2,3,1,2,1,2
"CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES",4,5,3,2,3,2,2,2
"HOSPITAL OF CENTRAL CONNECTICUT, THE",2,7,2,1,1,2,1,2
"ST JOSEPH'S HOSPITAL - SAVANNAH",2,5,2,1,1,2,1,1
"WINDHAM COMM MEM HOSP & HATCH HOSP",3,5,2,2,2,2,2,2
"LAWRENCE & MEMORIAL HOSPITAL",3,5,2,2,2,2,1,2
"UNION GENERAL HOSPITAL",3,1,2,2,3,2,2,2
"ORANGE PARK MEDICAL CENTER",3,7,2,3,1,2,3,2
"ST ANTHONY NORTH HEALTH CAMPUS",4,5,2,3,2,2,2,2
"ST JOSEPHS HOSPITAL",3,6,2,2,3,2,2,3
"HOLMES REGIONAL MEDICAL CENTER",3,5,1,2,1,2,2,2
"ST BERNARDS MEDICAL CENTER",1,5,3,1,2,2,2,1
"OROVILLE HOSPITAL",2,5,1,3,1,1,1,2
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",4,5,2,1,2,1,2,1
"SANTA CLARA VALLEY MEDICAL CENTER",2,2,2,2,1,2,1,1
"CHI ST. VINCENT HOSPITAL HOT SPRINGS",2,6,3,2,1,2,2,2
"COMMUNITY REGIONAL MEDICAL CENTER",2,5,2,1,1,2,1,2
"INDIAN RIVER MEDICAL CENTER",2,1,3,1,1,2,1,2
"TAYLOR REGIONAL HOSPITAL",3,5,2,2,2,1,3,2
"ST JOHNS PLEASANT VALLEY HOSPITAL",3,6,3,3,1,2,1,2
"RAULERSON HOSPITAL",3,9,1,2,1,2,3,2
"TANNER MEDICAL CENTER VILLA RICA",3,1,2,2,2,2,3,2
"EL CENTRO REGIONAL MEDICAL CENTER",2,2,2,2,1,2,1,2
"HOMESTEAD HOSPITAL",3,5,2,2,2,2,1,3
"MT. GRAHAM REGIONAL MEDICAL CENTER",3,1,2,2,2,1,2,2
"SANTA BARBARA COTTAGE HOSPITAL",5,5,2,3,3,2,2,2
"ST MARY MEDICAL CENTER",2,5,1,2,1,1,1,2
"GRANDVIEW MEDICAL CENTER",2,9,3,1,3,2,3,2
"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS",3,1,2,2,2,2,2,2
"FLAGLER HOSPITAL",3,5,1,1,1,2,1,2
"BANNER ESTRELLA MEDICAL CENTER",4,5,2,2,2,2,1,3
"BAPTIST MEDICAL CENTER JACKSONVILLE",3,5,1,2,2,2,1,2
"BAYHEALTH - KENT GENERAL HOSPITAL",3,5,1,3,2,2,1,3
"FLORIDA HOSPITAL WATERMAN",3,6,2,2,2,2,1,3
"SEVEN RIVERS REGIONAL MEDICAL CENTER",2,9,3,1,1,2,1,2
"LEESBURG REGIONAL MEDICAL CENTER",2,5,2,3,1,2,1,2
"MEMORIAL HOSPITAL OF TAMPA",3,9,2,2,1,2,3,2
"ADVENTIST MEDICAL CENTER",2,6,3,3,1,1,1,1
"SAINT FRANCIS MEDICAL CENTER",3,6,1,3,1,2,1,2
"HELEN KELLER MEMORIAL HOSPITAL",2,1,3,1,1,2,3,1
"SOUTH BAY HOSPITAL",1,9,2,1,1,2,2,2
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS",2,1,2,1,1,1,2,1
"MAYO CLINIC HOSPITAL",5,5,1,3,3,2,2,2
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",3,6,1,1,2,2,1,2
"MUNROE REGIONAL MEDICAL CENTER",2,1,3,3,1,1,1,3
"TUCSON MEDICAL CENTER",3,5,2,3,1,2,1,2
"BRANDON REGIONAL HOSPITAL",3,9,1,3,1,2,3,3
"WOODLAND MEMORIAL HOSPITAL",3,7,3,2,2,2,2,2
"BROWARD HEALTH MEDICAL CENTER",2,1,2,1,1,3,1,2
"NORTHSIDE HOSPITAL CHEROKEE",3,7,2,2,3,3,2,2
"SUTTER AUBURN FAITH HOSPITAL",4,7,2,2,2,2,2,2
"BANNER BAYWOOD MEDICAL CENTER",4,5,1,3,1,2,2,3
"DOMINICAN HOSPITAL",4,6,2,3,1,2,2,2
"MIDSTATE MEDICAL CENTER",3,5,1,3,2,2,1,3
"FLOYD MEDICAL CENTER",3,1,2,3,2,2,2,3
"LUTHERAN MEDICAL CENTER",3,5,2,1,3,2,3,2
"PHOEBE SUMTER MEDICAL CENTER",3,1,2,2,2,2,1,2
"ST MARY'S HOSPITAL",4,5,2,3,3,2,2,2
"ST JUDE MEDICAL CENTER",3,6,2,2,3,2,1,1
"SAINT VINCENT MEDICAL CENTER",4,6,1,3,1,2,2,1
"DOCTORS HOSPITAL OF MANTECA",3,7,2,3,1,2,2,2
"HOWARD UNIVERSITY HOSPITAL",1,7,2,1,1,2,1,2
"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER",2,2,2,2,2,2,1,2
"MEASE DUNEDIN HOSPITAL",4,5,2,3,3,2,2,2
"GWINNETT MEDICAL CENTER",4,1,1,2,1,2,1,2
"QUEEN OF THE VALLEY MEDICAL CENTER",3,6,2,1,1,2,1,1
"EMORY UNIVERSITY HOSPITAL MIDTOWN",3,5,1,1,1,2,1,2
"SOUTH BALDWIN REGIONAL MEDICAL CENTER",3,9,2,1,3,2,2,1
"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",1,5,2,1,1,2,1,3
"WASHINGTON HOSPITAL",3,1,2,3,2,2,2,2
"O'CONNOR HOSPITAL",2,6,2,2,1,2,1,3
"BROWARD HEALTH CORAL SPRINGS",2,1,2,2,1,3,2,2
"ST CLOUD REGIONAL MEDICAL CENTER",2,9,2,2,1,2,1,2
"CLOVIS COMMUNITY MEDICAL CENTER",2,5,3,1,2,2,1,2
"MERCY HOSPITAL FORT SMITH",3,5,3,3,2,2,2,1
"TWIN CITIES COMMUNITY HOSPITAL",3,9,2,2,1,2,2,2
"HENRY MAYO NEWHALL  HOSPITAL",3,5,1,2,1,2,1,2
"MOBILE INFIRMARY MEDICAL CENTER",2,5,2,1,3,2,1,1
"EMANUEL MEDICAL CENTER",3,6,2,2,1,2,1,2
"PROVIDENCE HOLY CROSS MEDICAL CENTER",4,6,1,3,2,2,2,2
"MANCHESTER MEMORIAL HOSPITAL",2,5,2,1,1,2,1,3
"PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO",3,5,2,2,2,2,1,2
"LOS ROBLES HOSPITAL & MEDICAL CENTER",3,9,2,2,1,2,2,1
"PIH HOSPITAL - DOWNEY",3,5,1,2,1,2,1,2
"SETON MEDICAL CENTER",2,6,2,1,1,2,2,1
"GLENDALE ADVENTIST MEDICAL CENTER",4,5,1,3,2,2,1,1
"ARKANSAS VALLEY REGIONAL MEDICAL CENTER",3,5,2,2,2,2,2,2
"JUPITER MEDICAL CENTER",4,5,1,3,2,2,1,1
"ST VINCENT'S EAST",2,5,2,1,1,1,2,2
"BAKERSFIELD MEMORIAL HOSPITAL",2,5,2,1,1,2,1,2
"JOHN C. LINCOLN MEDICAL CENTER",3,5,2,2,1,2,2,2
"VENTURA COUNTY MEDICAL CENTER",2,2,2,2,1,1,1,2
"NORTHWEST MEDICAL CENTER",3,9,3,3,1,2,1,2
"MEMORIAL HOSPITAL JACKSONVILLE",3,9,1,3,1,2,2,2
"WELLSTAR ATLANTA MEDICAL CENTER",1,9,2,1,1,2,1,2
"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP",2,5,2,1,1,2,1,2
"VALLEY VIEW HOSPITAL ASSOCIATION",3,5,2,2,2,2,2,2
"ROCKVILLE GENERAL HOSPITAL",3,7,2,1,1,2,1,2
"SONOMA VALLEY HOSPITAL",4,1,2,2,2,2,2,2
"BAYFRONT HEALTH - ST PETERSBURG",2,5,2,1,1,2,2,2
"ARKANSAS HEART HOSPITAL, LLC",4,9,2,3,3,2,3,2
"OCALA REGIONAL MEDICAL CENTER",2,9,3,3,1,2,1,3
"SUTTER SOLANO MEDICAL CENTER",3,5,2,2,2,2,1,2
"SAN ANTONIO REGIONAL HOSPITAL",2,7,2,2,1,2,1,1
"DEKALB MEDICAL CENTER",2,5,2,1,1,2,1,2
"SARASOTA MEMORIAL HOSPITAL",5,1,1,3,3,2,2,2
"SEQUOIA HOSPITAL",4,5,2,2,3,2,2,2
"SCOTTSDALE SHEA MEDICAL CENTER",3,9,2,1,3,1,3,3
"MIDDLESEX HOSPITAL",3,5,2,1,3,3,2,3
"MEDICAL CENTER, NAVICENT HEALTH (THE)",2,1,3,2,1,2,1,2
"BANNER PAYSON MEDICAL CENTER",3,7,2,2,1,2,2,2
"FAIRVIEW PARK HOSPITAL",4,9,2,3,3,2,3,2
"UF HEALTH JACKSONVILLE",1,5,2,1,1,2,1,1
"ST FRANCIS HOSPITAL",3,5,3,2,1,2,1,2
"MCKEE MEDICAL CENTER",3,5,2,2,2,2,2,2
"BRIDGEPORT HOSPITAL",2,5,1,1,2,2,1,1
"GEORGE WASHINGTON UNIV HOSPITAL",1,9,2,1,1,2,1,2
"FLORIDA HOSPITAL NEW SMYRNA",2,6,2,1,1,2,2,2
"CENTINELA HOSPITAL MEDICAL CENTER",4,9,1,3,1,2,1,2
"GORDON HOSPITAL",5,6,2,3,3,2,2,2
"ST MARY'S MEDICAL CENTER",3,5,2,3,1,2,2,2
"BAPTIST HOSPITAL OF MIAMI",3,5,1,1,2,2,1,3
"WATSONVILLE COMMUNITY HOSPITAL",3,9,2,3,1,2,2,2
"BAPTIST MEDICAL CENTER EAST",5,1,2,3,3,2,1,2
"BROWARD HEALTH NORTH",2,1,2,1,3,2,2,2
"SAN JOAQUIN COMMUNITY HOSPITAL",2,5,2,2,1,2,1,1
"CRISP REGIONAL HOSPITAL",3,1,2,2,1,2,2,2
"PROVIDENCE ALASKA MEDICAL CENTER",3,6,2,1,2,2,1,2
"VALLEY PRESBYTERIAN HOSPITAL",2,7,2,1,1,1,1,2
"NORTH ARKANSAS REGIONAL MEDICAL CENTER",3,7,2,3,2,2,2,1
"UPSON REGIONAL MEDICAL CENTER",3,7,3,2,3,2,2,2
"FLORIDA HOSPITAL ZEPHYRHILLS",3,6,2,3,2,2,2,1
"HI-DESERT MEDICAL CENTER",2,1,2,2,1,2,1,2
"SOUTH FLORIDA BAPTIST HOSPITAL",3,5,2,3,2,2,1,2
"MIDTOWN MEDICAL CENTER",2,7,2,1,1,2,1,2
"JOHN DEMPSEY HOSPITAL",3,2,1,3,1,1,2,2
"PHOEBE PUTNEY MEMORIAL HOSPITAL",1,1,3,1,1,1,1,3
"BEVERLY HOSPITAL",3,5,1,2,1,2,1,2
"SOUTH GEORGIA MEDICAL CENTER",3,1,3,3,2,1,1,2
"THOMAS HOSPITAL",4,1,2,2,3,2,2,1
"SOUTHEAST ALABAMA MEDICAL CENTER",3,1,2,3,1,2,2,2
"DENVER HEALTH MEDICAL CENTER",3,3,2,1,1,2,2,3
"DAY KIMBALL HOSPITAL",3,5,2,1,3,2,2,2
"SPRINGHILL MEMORIAL HOSPITAL",2,9,2,1,1,2,2,1
"ABRAZO WEST CAMPUS",2,9,2,1,1,1,2,2
"WEST ANAHEIM MEDICAL CENTER",3,9,1,3,1,2,1,2
"OCONEE REGIONAL MEDICAL CENTER",3,5,2,2,2,2,2,2
"SAN LUIS VALLEY HEALTH",3,5,2,2,2,2,2,2
"MORTON PLANT HOSPITAL",3,5,2,3,3,2,2,2
"POMONA VALLEY HOSPITAL MEDICAL CENTER",3,5,2,2,2,2,1,2
"GOSHEN GENERAL HOSPITAL",3,5,3,2,3,2,2,2
"SWEDISH AMERICAN HOSPITAL",4,7,2,3,3,2,3,3
"LABETTE HEALTH",4,2,2,2,3,2,3,1
"MERCY MEDICAL CENTER-SIOUX CITY",3,5,3,2,1,2,3,2
"MAINE COAST MEMORIAL HOSPITAL",5,7,2,2,3,3,1,2
"ST ELIZABETH'S MEDICAL CENTER",3,9,1,3,1,2,2,2
"MERCY HOSPITAL",4,6,2,2,3,2,1,2
"REID HEALTH",4,5,2,2,3,2,3,2
"JACKSON PARK HOSPITAL",1,5,2,2,1,1,3,2
"JENNIE STUART MEDICAL CENTER",2,5,3,2,2,2,2,2
"CENTRAL DUPAGE HOSPITAL",3,5,2,1,3,1,2,3
"SIGNATURE HEALTHCARE BROCKTON HOSPITAL",3,7,1,2,2,2,1,2
"PRESENCE RESURRECTION MEDICAL CENTER",4,6,1,3,2,2,3,2
"CASTLE MEDICAL CENTER",3,6,2,2,3,2,2,2
"KUAKINI MEDICAL CENTER",3,5,2,2,2,2,2,2
"ADVENTIST HINSDALE HOSPITAL",4,6,1,3,3,2,3,2
"PIKEVILLE MEDICAL CENTER",2,5,2,2,2,3,2,1
"MEMORIAL HOSPITAL AND HEALTH CARE CENTER",5,6,2,2,3,2,3,2
"MAUI MEMORIAL MEDICAL CENTER",3,3,2,2,1,2,1,2
"IU HEALTH WEST HOSPITAL",5,9,1,3,3,2,1,3
"JOHNSON MEMORIAL HOSPITAL",4,2,2,2,3,2,3,2
"SUSAN B ALLEN MEMORIAL HOSPITAL",3,5,3,2,3,2,3,2
"LOYOLA GOTTLIEB MEMORIAL HOSPITAL",3,5,2,2,1,2,1,2
"ST ELIZABETH FT THOMAS",4,5,2,3,2,2,2,2
